Date,Currency,Balance,Unconfirmed:,Total mined:,Value USD,Value BTC,Status,Coin Price
2017-08-11,Ethereum,0.0042383663,,0.0042383663,1.26990354,0.00029785,OFF LINE,302.154284
2017-08-11,Aeon Coin,,,,,,,
2017-08-11,Ethereum Classic,,,,,,,
2017-08-11,Bitcoin,,,,,,,
,,,,,,,,
2017-08-12,Monero,0.0264557783,0.0018245038,0.0282802821,2.92201425,0.00070151,ON LINE,109.947738
2017-08-12,FantomCoin,0,0.2608290918,0.2607633295,0,0,ON LINE,0.14847053
2017-08-12,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0017344
2017-08-12,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0021482
2017-08-12,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-12,Ethereum,0.0070956431,,0.0070956431,2.0497752,0.00049532,ON LINE,291.388278
2017-08-12,Aeon Coin,,,,,,,
2017-08-12,Ethereum Classic,,,,,,,
2017-08-12,Bitcoin,,,,,,,
,,,,,,,,
2017-08-13,Monero,0.0264557783,0.0025876082,0.0290433865,3.04640932,0.00077825,ON LINE,$114.25
2017-08-13,FantomCoin,0,0.2703062952,0.2702278078,0,0,ON LINE,0.12515264
2017-08-13,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0015253
2017-08-13,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0022301
2017-08-13,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-13,Ethereum,0.0070956431,,0.0070956431,1.98645368,0.00050656,ON LINE,278.798284
2017-08-13,Aeon Coin,,,,,,,
2017-08-13,Ethereum Classic,,,,,,,
2017-08-13,Bitcoin,,,,,,,
,,,,,,,,
2017-08-14,Monero,0.0264557783,0.0032380473,0.0296938256,2.39567125,0.00070589,OFF LINE,$91.25
2017-08-14,FantomCoin,0,0.2783541839,0.2782756965,0,0,OFF LINE,0.10403911
2017-08-14,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0011853
2017-08-14,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.001831
2017-08-14,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-14,Ethereum,0.0079232678,,0.0079232678,1.82106802,0.0005408,OFF LINE,233.0307
2017-08-14,Aeon Coin,,,,,,,
2017-08-14,Ethereum Classic,,,,,,,
2017-08-14,Bitcoin,,,,,,,
,,,,,,,,
2017-08-15,Monero,0.0264557783,0.0043924076,0.0308481858,2.45650102,0.00067764,ON LINE,$95.65
2017-08-15,FantomCoin,0,0.291889403,0.2918166315,0,0,ON LINE,0.10403911
2017-08-15,Bytecoin,0,0.17020379,0.17020379,0,0,OFF LINE,0.0012438
2017-08-15,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0019745
2017-08-15,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-15,Ethereum,0.0079232678,,0.0079232678,1.90921437,0.0005408,ON LINE,249.982101
2017-08-15,Aeon Coin,,,,,,,
2017-08-15,Ethereum Classic,,,,,,,
2017-08-15,Bitcoin,,,,,,,
,,,,,,,,
2017-08-16,Monero,0.0264557783,0.0047307118,0.03118649,2.4978223,0.00068073,ON LINE,$95.22
2017-08-16,FantomCoin,0,0.295024268,0.2949457806,0,0,ON LINE,0.10689583
2017-08-16,Bytecoin,60.51481127,9.8097297,70.32454097,0.07508859,0.00002058,ON LINE,0.0012452
2017-08-16,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0019405
2017-08-16,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-16,Ethereum,0.0079232678,,0.0079232678,1.94046374,0.00052727,OFF LINE,252.612542
2017-08-16,Aeon Coin,,,,,,,
2017-08-16,Ethereum Classic,,,,4.51337463,0.00122858,,
2017-08-16,Bitcoin,,,,,,,
,,,,,,,,
2017-08-17,Monero,0.0314604842,0.00032361,0.0317840942,2.99526461,0.00079593,ON LINE,$95.85
2017-08-17,FantomCoin,0,0.3031503772,0.3030718898,0,0,ON LINE,0.10163751
2017-08-17,Bytecoin,262.25215095,12.12431375,274.3764647,0.33994173,0.00008917,ON LINE,0.0012861
2017-08-17,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0020414
2017-08-17,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-17,Ethereum,0.0084142358,0,0.0084142358,2.17900941,0.00057767,OFF LINE,268.197479
2017-08-17,Aeon Coin,,,,,,,
2017-08-17,Ethereum Classic,,,,,,,
2017-08-17,Bitcoin,,,,,,,
,,,,,,,,
2017-08-18,Monero,0.0314604842,0.0006497565,0.0321102407,3.16567976,0.00083565,ON LINE,$99.80
2017-08-18,FantomCoin,0,0.3075418596,0.3074633722,0,0,ON LINE,0.10269054
2017-08-18,Bytecoin,444.2633966,4.06381486,407.78382029,0.57636956,0.00015549,ON LINE,0.0013558
2017-08-18,DigitalNote,0,0.46662245,0.46662245,0,0,ON LINE,0.0021913
2017-08-18,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-18,Ethereum,0.0084142358,0,0.0084142358,2.14689227,0.00056672,OFF LINE,288.216565
2017-08-18,Aeon Coin,,,,,,,
2017-08-18,Ethereum Classic,,,,,,,
2017-08-18,Bitcoin,,,,,,,
,,,,,,,,
2017-08-19,Monero,0.0314604842,0.0047311873,32110240732,3.04799868,0.00077713,ON LINE,$97.05
2017-08-19,FantomCoin,0,0.3509478971,0.3508694097,0,0,ON LINE,0.1010802
2017-08-19,Bytecoin,444.2633966,15.11348089,459.37687749,0.57636956,0.00015549,ON LINE,0.00133
2017-08-19,DigitalNote,1.00026798,0.06648921,1.06675719,0.00204206,0.00000052,ON LINE,0.0020732
2017-08-19,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-19,Ethereum,0.0084142358,0,0.0084142358,2.37395884,0.00060593,OFF LINE,283.350895
2017-08-19,Aeon Coin,,,,,,,
2017-08-19,Ethereum Classic,,,,,,,
2017-08-19,Bitcoin,,,,,,,
,,,,,,,,
2017-08-20,Monero,0.036468074,0.0004302688,0.0368983428,3.42773638,0.00088944,ON LINE,$94.55
2017-08-20,FantomCoin,0,0.3570037311,0.3569252437,0,0,ON LINE,0.0883986
2017-08-20,Bytecoin,625.6074562,18.03729574,643.64475194,0.77575325,0.00020019,ON LINE,0.0012814
2017-08-20,DigitalNote,1.00026798,0.39170528,1.39197326,0.00244614,0.00000063,ON LINE,0.002444
2017-08-20,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-20,Ethereum,0.0084142358,0,0.0084142358,2.36319703,0.00061321,OFF LINE,283.553982
2017-08-20,Aeon Coin,,,,,,,
2017-08-20,Ethereum Classic,,,,,,,
2017-08-20,Bitcoin,,,,,,,
,,,,,,,,
2017-08-21,Monero,0.036468074,0.0015160747,0.0379841486,3.20298364,0.00088825,ON LINE,$86.92
2017-08-21,FantomCoin,0,0.3684633587,0.3683848713,0,0,ON LINE,0.08613937
2017-08-21,Bytecoin,1060.12342307,10.90867454,1071.03209761,1.18809092,0.00032864,ON LINE,0.0010715
2017-08-21,DigitalNote,1.00026798,0.78363814,1.78390612,0.00197235,0.00000055,OFF LINE,0.0020348
2017-08-21,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-21,Ethereum,0.0084142358,0,0.0084142358,2.21006635,0.00061384,OFF LINE,259.6284
2017-08-21,Aeon Coin,,,,,,,
2017-08-21,Ethereum Classic,,,,,,,
2017-08-21,Bitcoin,,,,,,,
,,,,,,,,
2017-08-22,Monero,0.036468074,0.0046277596,0.0410958336,3.32326264,0.00088383,ON LINE,$91.03
2017-08-22,FantomCoin,0,0.4082091672,0.4081306798,0,0,ON LINE,0.09349545
2017-08-22,Bytecoin,1060.12342307,17.01119931,1077.13462238,1.35474232,0.00036044,OFF LINE,0.0012789
2017-08-22,DigitalNote,1.00026798,0.78363814,1.78390612,0.00197235,0.00000055,OFF LINE,0.0021817
2017-08-22,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-22,Ethereum,0.0084142358,0,0.0084142358,2.40105268,0.00063857,OFF LINE,286.229047
2017-08-22,Aeon Coin,,,,,,,
2017-08-22,Ethereum Classic,,,,,,,
2017-08-22,Bitcoin,,,,,,,
,,,,,,,,
